code,name,name_eng,price,shares_common,mcap_common,mcap_total,corp_code,induty_code,fiscal_month,fs_div,currency,fin_rule,net_income_parent,equity_parent,net_income_parent_prior,equity_parent_prior,dps_common,eps_reported,payout_reported_pct,valueup_plan,valueup_first_plan_date,valueup_first_preview_date,valueup_filings,is_financial,pb,roe,roe_prior,roe_jump_pp,div_yield,payout,log_pb,sector_raw,sector,justified_pb,pb_vs_justified
003690,코리안리,Korean Reinsurance Company,14670,176721031,2592497524770,2592497524770,113191,65200,12,CFS,KRW,"no NCI, NI = total NI",322041488493.0,3683421777221.0,316671748113.0,3452869465595.0,570.0,1587.0,31.28,True,20260327.0,,1,True,0.7038285815657906,0.0874299789626503,0.09171263242597877,-0.428265346332847,0.03885480572597137,0.3591682419659735,-0.3512204445671549,Other,Other,0.9424090978973765,-0.2531602431087375
001720,신영증권,"SHINYOUNG SECURITIES CO.,LTD",138000,16440000,2268720000000,2268720000000,136721,66121,3,CFS,KRW,standard,108625211917.0,1756981842004.0,142649513102.0,1612823517609.0,5000.0,13618.0,36.9,True,20260622.0,,1,True,1.2912597875299128,0.06182489159540939,0.08844706909623748,-2.6622177500828093,0.036231884057971016,0.36716111029519755,0.25561832131062223,Other,Other,0.5845494684184623,1.2089829129833998
279570,케이뱅크,Kbank,5350,405695151,2170469057850,2170469057850,1203312,64121,12,OFS,KRW,OFS totals,112609000000.0,2171766000000.0,128053000000.0,1995845000000.0,0.0,294.0,0.0,False,,,0,True,0.9994028168089932,0.051851350467775996,0.06415979196781313,-1.2308441500037133,0.0,0.0,-0.0005973615759110905,Other,Other,0.4451581169523497,1.2450513171614719
012630,HDC,"HDC HOLDINGS CO.,Ltd",25450,59741721,1520426799450,1520426799450,164636,649,12,CFS,KRW,standard,300976366813.0,2920918753025.0,146351546970.0,2640848273943.0,450.0,6057.0,,False,,,0,True,0.5205303289848086,0.10304167704127304,0.055418385226458054,4.7623291814814985,0.01768172888015717,0.07429420505200594,-0.6529071236817264,Other,Other,1.1605999757422358,-0.5514989317039103
001800,오리온홀딩스,ORION Holdings Corp.,23750,60156652,1428720485000,1428720485000,117577,649,12,CFS,KRW,standard,120991845518.0,2463569687398.0,160636402912.0,2370781238350.0,1100.0,1529.0,54.69,True,20260326.0,,1,True,0.5799391396591673,0.04911241039249452,0.06775673786915853,-1.8644327476664015,0.04631578947368421,0.7194244604316546,-0.5448321125695051,Other,Other,0.4068783772097238,0.4253378211844372
003540,대신증권,"DAISHIN SECURITIES CO.,LTD",26050,47666126,1241702582300,1920230982860,110893,66121,12,CFS,KRW,standard,186611961000.0,4054118668000.0,144817600000.0,3320378412000.0,1200.0,2413.0,51.0,True,20250313.0,,3,True,0.473649426697048,0.04603021674549562,0.043614787843645336,0.2415428901850286,0.046065259117082535,0.49730625777041026,-0.7472878370549754,Other,Other,0.36380128629112557,0.30194544259532496
030610,교보증권,"KYOBO SECURITIES CO.,LTD.",10000,113962961,1139629610000,1139629610000,113359,66121,12,CFS,KRW,standard,142910816000.0,2118939049000.0,117678416000.0,1985723994000.0,550.0,1266.0,43.44,False,,,0,True,0.537830293201605,0.06744451477613031,0.05926222191783618,0.8182292858294131,0.055,0.4344391785150079,-0.6202122087277758,Other,Other,0.6630899647042442,-0.18890298175226994
192400,쿠쿠홀딩스,"Cuckoo Holdings Co.,Ltd",27250,35562185,969069541250,969069541250,132354,649,12,CFS,KRW,standard,145594260842.0,1321655030636.0,137306911468.0,1196444686567.0,1550.0,4685.0,33.09,True,20260325.0,,1,True,0.7332242671400186,0.11016056192207575,0.11476243992689662,-0.46018780048208696,0.05688073394495413,0.33084311632870866,-0.3103036659919884,Other,Other,1.2600943250177805,-0.41811953868638163
000370,한화손해보험,"Hanwha General Insurance Co., Ltd.",7610,116738915,888383143150,888383143150,135917,65121,12,CFS,KRW,standard,299017018000.0,2669558297000.0,343005703000.0,2866527338000.0,0.0,1858.0,0.0,False,,,0,True,0.33278282184297997,0.11200992251640647,0.11965896799690665,-0.7649045480500174,0.0,0.0,-1.1002651884256431,Other,Other,1.2859412001941104,-0.7412145891330435
003470,유안타증권,"Yuanta Securities Korea Co., Ltd.",4410,192680102,849719249820,904039458620,117601,66121,12,CFS,KRW,standard,95631538000.0,1905932821000.0,73049835000.0,1634308431000.0,220.0,443.0,48.0,True,20241210.0,,2,True,0.4743291309426483,0.05017571288258958,0.04469770430989106,0.5478008572698521,0.049886621315192746,0.4966139954853273,-0.745853829172413,Other,Other,0.421739214420389,0.12469771537497532
000400,롯데손해보험,"Lotte Non-Life Insurance Co., Ltd.",2015,310336320,625327684800,625327684800,113562,65121,12,OFS,KRW,OFS totals,51331000000.0,613504000000.0,24222000000.0,794239000000.0,0.0,158.0,0.0,False,,,0,True,1.019272384206134,0.08366856613811809,0.03049711736643504,5.317144877168305,0.0,0.0,0.019089023924331722,Other,Other,0.8898391620717923,0.14545687316456757
001510,SK증권,"SK SECURITIES CO.,LTD",2320,231295085,536604597200,544429625200,131850,66121,12,CFS,KRW,standard,28818770574.0,602394974044.0,-82546404429.0,550995937275.0,0.0,69.0,0.0,False,,,0,True,0.9037751785097627,0.04784032373400085,-0.14981309088636963,19.765341462037046,0.0,0.0,-0.10117464585878128,Other,Other,0.3890995485830333,1.322735099028002
