code,name,name_eng,price,shares_common,mcap_common,mcap_total,corp_code,induty_code,fiscal_month,fs_div,currency,fin_rule,net_income_parent,equity_parent,net_income_parent_prior,equity_parent_prior,dps_common,eps_reported,payout_reported_pct,valueup_plan,valueup_first_plan_date,valueup_first_preview_date,valueup_filings,is_financial
138040,메리츠금융지주,MERITZ FINANCIAL GROUP INC.,125600,167347273,21018817488800,21018817488800,00860332,64992,12,CFS,KRW,standard,2300359733517.0,10322630113710.0,2306096480027.0,10094442922761.0,0.0,12903.0,0.0,True,20240704,,10,True
011200,HMM,"HMM CO.,LTD",20800,943237970,19619349776000,19619349776000,00164645,50112,12,CFS,KRW,standard,1878436000000.0,26569235000000.0,3782169000000.0,27853923000000.0,700.0,1951.0,35.15,True,20250122,,2,False
015760,한국전력,KOREA ELECTRIC POWER CORPORATION,30250,641964077,19419413329250,19419413329250,00159193,35120,12,CFS,KRW,standard,8544918000000.0,48169942000000.0,3491698000000.0,39915236000000.0,1542.0,13311.0,11.6,False,,,0,False
017670,SK텔레콤,"SK TELECOM CO.,LTD",87100,214790053,18708213616300,18708213616300,00159023,61220,12,CFS,KRW,standard,408410000000.0,12863103000000.0,1250155000000.0,11698627000000.0,1660.0,1825.0,86.6,True,20241024,,1,False
033780,KT&G,KT&G Corporation,174300,103810456,18094162480800,18094162480800,00244455,12000,12,CFS,KRW,standard,1090072000000.0,9279560000000.0,1165727000000.0,9239171000000.0,6000.0,10220.0,57.6,True,20241107,20240808,4,False
051910,LG화학,LG CHEM LTD,252500,70592343,17824566607500,18703396447500,00356361,20111,12,CFS,KRW,standard,-1819449000000.0,32845600000000.0,-690854000000.0,33284180000000.0,2000.0,-23244.0,,True,20241122,,3,False
010140,삼성중공업,"SAMSUNG HEAVY INDUSTRIES CO.,LTD",20250,880000000,17820000000000,17820000000000,00126478,3111,12,CFS,KRW,standard,545539601781.0,4148939309647.0,63876253559.0,3794592947059.0,0.0,639.0,0.0,False,,,0,False
010950,S-Oil,S-Oil Corporation,155600,112582792,17517882435200,17855724303200,00138279,19210,12,CFS,KRW,"no NCI, NI = total NI",176952000000.0,8887401000000.0,-193042000000.0,8695647000000.0,330.0,1519.0,21.8,True,20250317,,2,False
006800,미래에셋증권,"MIRAE ASSET SECURITIES CO.,LTD.",32250,543021051,17512428894750,19042363413170,00111722,66121,12,CFS,KRW,standard,1569530000000.0,13303614000000.0,921609000000.0,12100353000000.0,300.0,2680.0,11.1,True,20240822,,2,True
018260,삼성에스디에스,"SAMSUNG SDS CO., LTD.",220500,77377800,17061804900000,17061804900000,00126186,62021,12,CFS,KRW,standard,759538805950.0,9916106572212.0,756996881809.0,9333119577877.0,3190.0,9819.0,32.5,True,20260319,,1,False
003550,LG,LG Corp.,111900,151192004,16918385247600,17122544539800,00120021,64992,12,CFS,KRW,standard,737248000000.0,28708510000000.0,574727000000.0,27083363000000.0,3100.0,4780.0,64.86,True,20241122,20240829,4,False
024110,기업은행,INDUSTRIAL BANK OF KOREA,20400,797425869,16267487727600,16267487727600,00149646,64121,12,CFS,KRW,standard,2711103000000.0,36454735000000.0,2644524000000.0,33946719000000.0,1048.0,3183.0,30.83,True,20241205,20240930,2,True
267250,HD현대,"HD HYUNDAI CO.,LTD.",205500,78993085,16233078967500,16233078967500,01205709,64992,12,CFS,KRW,standard,962697249000.0,10116362882000.0,509021030000.0,8675322438000.0,4000.0,13623.0,29.4,True,20241216,,2,False
003670,포스코퓨처엠,"POSCO FUTURE M CO., LTD.",179900,88946220,16001424978000,16001424978000,00155276,282,12,CFS,KRW,standard,32262297485.0,4067558055710.0,-212323486396.0,2970273518789.0,250.0,51.0,60.9,True,20241223,20240829,3,False
079550,LIG디펜스앤에어로스페이스,"LIG Defense&Aerospace Co., Ltd.",692000,22000000,15224000000000,15224000000000,00503668,25200,12,CFS,KRW,standard,253355820875.0,1430099949880.0,219434507874.0,1209332843260.0,2950.0,11604.0,25.4,True,20260331,,1,False
035720,카카오,Kakao Corp.,33450,442999903,14818346755350,14818346755350,00258801,63120,12,CFS,KRW,standard,491491558183.0,11276217552488.0,55277416537.0,10141299899346.0,75.0,1118.0,6.7,True,20260821,,1,False
086280,현대글로비스,"HYUNDAI GLOVIS Co., LTD.",196900,75000000,14767500000000,14767500000000,00360595,5299,12,CFS,KRW,standard,1733738515082.0,10351204581947.0,1093860048142.0,8773151741324.0,5800.0,23117.0,25.1,True,20241031,,3,False
272210,한화시스템,"HANWHA SYSTEMS Co., Ltd.",73900,188919389,13961142847100,13961142847100,00339391,26299,12,CFS,KRW,standard,242231770680.0,4849228707428.0,454300056693.0,2490054967099.0,500.0,1952.0,44.7,True,20250626,20250507,3,False
278470,에이피알,"APR Co., Ltd.",368500,37438155,13795960117500,13795960117500,01190568,20423,12,CFS,KRW,standard,289654813287.0,445799810314.0,107590435967.0,323524073990.0,5090.0,7765.0,65.8,True,20260331,,1,False
000720,현대건설,"HYUNDAI ENGINEERING & CONSTRUCTION CO.,LTD",121100,111355765,13485183141500,13541187339800,00164478,41221,12,CFS,KRW,standard,373147000000.0,8264726000000.0,-168663000000.0,8025410000000.0,800.0,3319.0,24.1,True,20250328,,2,False
030200,KT,KT CORPORATION,52700,252021685,13281542799500,13281542799500,00190321,612,12,CFS,KRW,standard,1731038000000.0,17655653000000.0,470286000000.0,16210702000000.0,2400.0,7119.0,33.6,True,20241105,20241028,6,False
011070,LG이노텍,"LG INNOTEK CO., LTD.",535000,23667107,12661902245000,12661902245000,00105961,262,12,CFS,KRW,standard,341262000000.0,5763054000000.0,449274000000.0,5353866000000.0,1880.0,14421.0,13.0,True,20241122,20241107,3,False
064350,현대로템,Hyundai-Rotem Co.,115900,109142293,12649591758700,12649591758700,00302926,31910,12,CFS,KRW,standard,769947514000.0,3079022979000.0,406891810000.0,2044977823000.0,600.0,7055.0,8.5,False,,,0,False
047810,한국항공우주,"KOREA AEROSPACE INDUSTRIES, LTD.",127500,97475107,12428076142500,12428076142500,00309503,31311,12,CFS,KRW,standard,185887822500.0,1830169571361.0,172075960913.0,1705857243034.0,500.0,1907.0,26.2,True,20250430,,2,False
005830,DB손해보험,"DB INSURANCE CO.,LTD",184600,65500349,12091364425400,12091364425400,00159102,65121,12,CFS,KRW,standard,1788026000000.0,10880841000000.0,1851594000000.0,9296647000000.0,7600.0,29597.0,25.7,True,20250228,,3,True
